front,back,deck_list
OSの主要な機能を4つ,"- プロセス管理
- メモリ管理
- ファイルシステム
- 入出力管理",はじめて読む486
マルチタスク機能とは何か,複数のプログラムを同時に並行して実行する機能のこと,はじめて読む486
マルチタスク環境では本当に複数のプログラムを同時に実行しているか？,"していない。
CPUはある瞬間をとってみれば1つのプログラムしか実行することができない。実際には複数のプログラムを高速に切り替えることで同時に実行しているように見せかけている。",はじめて読む486
【画像】マルチタスクのイメージ,"![](https://i.gyazo.com/8d4fbbc53c12a1da7039e7dbb07e4321.png)
",はじめて読む486
タスクの切り替えはどのように行われるか,タスクを中断する場合は、タスクの状態をメモリへ保存する。タスクを再開する場合はメモリからタスクの状態をレジスタに読み込む。この繰り返し。,はじめて読む486
タスクの状態とは具体的に何か,CPU内部のレジスタの内容のこと,はじめて読む486
【画像】マルチタスクはシステム全体の処理効率を向上させる,"![](https://i.gyazo.com/3a2f8194cad8d5f6fdfc84178cbc34de.png)
",はじめて読む486
排他制御とは何か,1つの資源に対して複数のタスクがアクセスすると矛盾が発生するような場合に、排他的にある1つの要求のみを受け付けるように制御すること,はじめて読む486
オペレーティングシステムのメモリ管理機能の主要な役割3つ,"- メモリ割り当て
- メモリ保護
- 仮想記憶",はじめて読む486
メモリ割り当てとは何か,アプリケーションソフトウェアからの要求に応じてメモリを割り当てたり、回収する機能,はじめて読む486
メモリ保護とは何か,プログラムからアクセスできるメモリ領域を制限する機能,はじめて読む486
仮想記憶とは何か,"実際に搭載されているメモリよりも多くのメモリ領域があるかのように見せる機能
※ HDDをメモリとして見せかけるのとはまた別っぽい（少なくともこの書籍のこの章では）",はじめて読む486
メモリ保護や仮想記憶の機能を実現するために必要なハードウェアは何か,メモリ管理ユニット（MMU：Memory Management Unit）,はじめて読む486
アドレス変換とは何か,見かけの番号と実際の番号を変換すること。このおかげで、各タスクは他のタスクが使用しているメモリを意識する必要が無くなる,はじめて読む486
「メモリをマップする」とはどういう意味か,論理アドレスと物理アドレスの対応を設定すること。なお、その対応状態のことをメモリマッピングと呼ぶ,はじめて読む486
OSの保護機能をいくつか,"- メモリ管理の保護機能
- 特権レベルによって、アプリケーションソフトウェアの実行できる命令の種類を制限すること
- 1つのプログラムがシステム資源を占有しないようにタスク管理機能でプログラムを切り替えること
- etc…",はじめて読む486
【画像】OS全体像,"![](https://i.gyazo.com/5b1fc374dbee4e02810bac0edb6cc0a9.png)
",はじめて読む486
リアルモードとは何か,"286以降のx86プロセッサの動作モードで、8086互換の動作をする。
互換性のためにあるモードだと思われる。",はじめて読む486
プロテクトモードとは何か,"80286以降のx86アーキテクチャのCPUの動作モードの一つ。
このモードでは仮想記憶、ページング、安全なマルチタスクといった機能をシステムソフトウェアが使えるようになり、アプリケーションソフトウェアへのOS)の制御能力が向上するよう設計されている。

※ https://ja.wikipedia.org/wiki/プロテクトモード",はじめて読む486
